Alternativa?, Bar?, Sex/Sáb, Faminto?, Clientes?, Preço, Chuva?, Reserva, Tipo, Espera estimada, Vai esperar?
sim, não, não, sim, alguns, caro, não, sim, francês, 0-10, sim
sim, não, não, sim, cheio, barato, não, não, tailandês, 30-60, não
não, sim, não, não, alguns, barato, não, não, hamburger, 0-10, sim
sim, não, sim, sim, cheio, barato, sim, não, tailandês, 10-30, sim
sim, não, sim, não, cheio, caro, não, sim, francês, >60, não
não, sim, não, sim, alguns, médio, sim, sim, italiano, 0-10, sim
não, sim, não, não, nenhum, barato, sim, não, hamburger, 0-10, não
não, não, não, sim, alguns, médio, sim, sim, tailandês, 0-10, sim
não, sim, sim, não, cheio, barato, sim, não, hamburger, >60, não
sim, sim, sim, sim, cheio, caro, não, sim, italiano, 10-30, não
não, não, não, não, nenhum, barato, não, não, tailandês, 0-10, não
sim, sim, sim, sim, cheio, barato, não, não, hamburger, 30-60, sim
